"sp","ba","Latin","n","prop_ba","prop_n","adj_ba","adj_n"
"acacme",0.117348695787703,"Vachellia melanoceras",41,7.42926344182535e-05,0.000197382040160024,13460.2845602458,5066.31707317073
"acaldi",1.23064980700542,"Acalypha diversifolia",1439,0.000779115742148102,0.00692762819000669,1283.50634687845,144.349548297429
"acalma",0.148204633433099,"Acalypha macrostachya",62,9.38273116443979e-05,0.000298480158290768,10657.8775675676,3350.3064516129
"ade1tr",2.27452172057881,"Adelia triloba",120,0.00143998371289139,0.00057770353217568,694.452299041682,1730.99166666667
"aegipa",0.262945021920159,"Aegiphila panamensis",26,0.000166468645045317,0.000125169098638064,6007.13725835743,7989.19230769231
"alchco",11.5723196478827,"Alchornea costaricensis",266,0.00732635422320064,0.00128057616298942,136.49353683081,780.898496240602
"alibed",0.361320854274669,"Alibertia edulis",455,0.000228749692990896,0.00219045922616612,4371.59056663652,456.525274725275
"allops",0.952348680194517,"Allophylus psilospermus",97,0.000602925255039875,0.000466977021842008,1658.58038229609,2141.43298969072
"alsebl",74.2908892447847,"Alseis blackiana",8064,0.0470330397642827,0.0388216773622057,21.2616493641861,25.7588045634921
"amaico",0.0610293642867987,"Amaioua glomerulata",19,3.86372615332694e-05,9.14697259278159e-05,25881.7514574352,10932.5789473684
"anacex",30.6344718566789,"Anacardium excelsum",24,0.0193944687920683,0.000115540706435136,51.561092532164,8654.95833333333
"anaxpa",0.487696916552463,"Anaxagorea panamensis",892,0.000308757489677515,0.00429426292250589,3238.78783003599,232.868834080718
"andiin",0.965142030878098,"Andira inermis",247,0.000611024635428722,0.00118910643706161,1636.59522385436,840.967611336032
"annoac",0.273803936927292,"Annona acuminata",492,0.000173343347805229,0.00236858448192029,5768.89746656799,422.193089430894
"annosp",0.250293828304152,"Annona spraguei",84,0.000158459263296679,0.000404392472522976,6310.77022065745,2472.84523809524
"apeime",29.5125627815903,"Apeiba membranacea",261,0.0186841960429202,0.0012565051824821,53.5211682484417,795.858237547893
"apeiti",0.799777232972929,"Apeiba tibourbou",44,0.000506333344281842,0.000211824628464416,1974.9834990985,4720.88636363636
"aphesi",0.00822783115975167,"Aphelandra sinclairiana",10,5.20898207094177e-06,4.814196101464e-05,191976.087915235,20771.9
"appuse",0.000552134908868406,"Appunia seibertii",4,3.495527296556e-07,1.9256784405856e-05,2860798.71550498,51929.75
